vid,yid,start,end,raw-text,tokenized-text,gloss,split
2P0cJuo415A-00_00_18.766-00_00_22.600,2P0cJuo415A,00:00:18.766,00:00:22.600,"It is important for them to have complete access, so they can continue to learn.",it is important for them to have complete access so they can continue to learn,Should make sure they continue full access can continue learn hmm,valid
2P0cJuo415A-00_02_59.066-00_03_06.266,2P0cJuo415A,00:02:59.066,00:03:06.266,Be sure to work with the educational audiologist to ensure the video and audio at home work well and have good connections.,be sure to work with the educational audiologist to ensure the video and audio at home work well and have good connections,Make sure work-out with education audiology-peron have thing IX home connect videophone hear perfect work-out successful.,valid
ohbo2X3bQoc-00_00_07.000-00_00_12.000,ohbo2X3bQoc,00:00:07.000,00:00:12.000,The NAD Board in Chicago is thrilled to host our Board meeting here.,the nad board in chicago is thrilled to host our board meeting here,We NAD_fs board here Chicago thrilled have board meeting here.,valid
ohbo2X3bQoc-00_03_24.200-00_03_26.766,ohbo2X3bQoc,00:03:24.200,00:03:26.766,They are interested in getting feedback from you.,they are interested in getting feedback from you,Your interest to uhh feedback from you.,valid
tUnOjApclYI-00_01_07.266-00_01_14.033,tUnOjApclYI,00:01:07.266,00:01:14.033,"After a year and a half of rotating through various jobs, I decided on welding, it seemed to be a passion of mine.",after a year and a half of rotating through various jobs i decided on welding it seemed to be a passion of mine,1 1/2 years play rotate different+ jobs muddle decide+settle welding seem my passion_fs focus welding.,valid
rCx68byGOzs-00_01_05.433-00_01_13.633,rCx68byGOzs,00:01:05.433,00:01:13.633,"Suppose you are with your elderly hearing family member, parents, or grandparents -- you may not understand what is being discussed.",suppose you are with your elderly hearing family member parents or grandparents -- you may not understand what is being discussed,cl:1-with-1 older family member parents grandparents cl:1-with-1 IX hearing IX but understand enough not.,valid
cddgTAQLy_4-00_01_27.166-00_01_32.466,cddgTAQLy_4,00:01:27.166,00:01:32.466,"The NAD fully supports this program, but recommends an alternative to this program.",the nad fully supports this program but recommends an alternative to this program,We wow NAD_fs support their idea recommend program one we suggest.,valid
cddgTAQLy_4-00_03_59.366-00_04_06.200,cddgTAQLy_4,00:03:59.366,00:04:06.200,"If I don't make many calls, then the take home profit is small. ",if i do n't make many calls then the take home profit is small,But if I not call+ much cl:part-profit IX keep proft_fs cl:c-to-pocket.,valid
cddgTAQLy_4-00_04_40.233-00_04_46.300,cddgTAQLy_4,00:04:40.233,00:04:46.300,We recognize every government program deals with fraud.,we recognize every government program deals with fraud,We push-back every government program all-over approach problem with fraud_fs.,valid
cddgTAQLy_4-00_05_33.633-00_05_39.133,cddgTAQLy_4,00:05:33.633,00:05:39.133,"In a per-user system, when I make more calls, VRS providers lose money.",in a per user system when i make more calls vrs providers lose money,Peruser_fs system I call+ more VRS_fs company lose money.,valid
ubC82N6N1bQ-00_00_59.266-00_01_01.600,ubC82N6N1bQ,00:00:59.266,00:01:01.600,My father said it'd be hard because your deaf and it'd be difficult to communicate.,my father said it 'd be hard because your deaf and it 'd be difficult to communicate,My father hey hard deaf uhh hard communicate.,valid
CnBZlJ39ESQ-00_01_33.000-00_01_35.300,CnBZlJ39ESQ,00:01:33.000,00:01:35.300,You have the right to decide your care.,you have the right to decide your care,You have right how care yourself.,valid
CnBZlJ39ESQ-00_02_21.166-00_02_25.266,CnBZlJ39ESQ,00:02:21.166,00:02:25.266,Keep in mind that sometimes hospitals WIFI doesn't work.,keep in mind that sometimes hospitals wifi does n't work,Mind sometimes hospital meh wifi_fs not work.,valid
rgE2ZZ9bHKA-00_02_50.233-00_02_54.400,rgE2ZZ9bHKA,00:02:50.233,00:02:54.400,"Day in and day out, we need to make sure there is an emphasis on languages.",day in and day out we need to make sure there is an emphasis on languages,Remind+ everyday work interact must remind make sure emphasis language+.,valid
97QYdY00md0-00_00_10.300-00_00_16.166,97QYdY00md0,00:00:10.300,00:00:16.166,"This is Juniper Sussman, a CODA and an interpreter.",this is juniper sussman a coda and an interpreter,IX Junper_fs Susaman_fs Juniper herself coda_fs interpreter.,valid
97QYdY00md0-00_00_49.033-00_00_50.366,97QYdY00md0,00:00:49.033,00:00:50.366,Looking forward to it!,looking forward to it,Look-forward.,valid
ZhHsZ19x3tE-00_00_40.266-00_00_43.733,ZhHsZ19x3tE,00:00:40.266,00:00:43.733,There is one thing to discuss and consider.,there is one thing to discuss and consider,One found I discuss think-figure think.,valid
XySXQIrwypg-00_00_29.533-00_00_34.966,XySXQIrwypg,00:00:29.533,00:00:34.966,"If you are interested in any of these groups, send us your interest and resume at NADYAP@NAD.org!",if you are interested in any of these groups send us your interest and resume at nadyap@nad.org,Interest go-ahead send resume to NADYAP_fs @NAD.ORG_fs,valid
6rMNK9JX0nc-00_00_22.633-00_00_25.533,6rMNK9JX0nc,00:00:22.633,00:00:25.533,That is against the law and NAD has taken action.,that is against the law and nad has taken action,That ban NAD_fs finish take action.,valid
6rMNK9JX0nc-00_01_07.600-00_01_08.633,6rMNK9JX0nc,00:01:07.600,00:01:08.633,That's not right!,that 's not right,That not fair.,valid
UoHKrFL9g0g-00_01_59.133-00_02_09.366,UoHKrFL9g0g,00:01:59.133,00:02:09.366,"The NAD Board is thrilled to announce that we have selected Orlando, Florida to host the NAD Conference in 2022!",the nad board is thrilled to announce that we have selected orlando florida to host the nad conference in 2022,"IX board want exciting inform they already discuss will decide 2022 conference upcoming where? Orado_fs, Fla_fs.",valid
LQGgyecOXwo-00_00_02.766-00_00_03.666,LQGgyecOXwo,00:00:02.766,00:00:03.666,Greetings!,greetings,Hello++. ,valid
LQGgyecOXwo-00_01_13.366-00_01_28.666,LQGgyecOXwo,00:01:13.366,00:01:28.666,"Associations of the deaf in different countries will select children, between 10-12 years of age to participate in the camp.",associations of the deaf in different countries will select children between 10-12 years of age to participate in the camp,Children camp itself international activity gather from itself different countries all-over world every country specific have deaf association specific it chosen+ who go they children who go camp itself must 10-years-old to 12 years old. ,valid
2MnvFrB5ljQ-00_02_58.000-00_03_01.500,2MnvFrB5ljQ,00:02:58.000,00:03:01.500,We really look forward to analyzing our data and finding out how we can better serve you.,we really look forward to analyzing our data and finding out how we can better serve you,We really look-forward analyze find out_fs how we better serve you.,valid
qeSkb04_Cy4-00_01_50.833-00_02_02.433,qeSkb04_Cy4,00:01:50.833,00:02:02.433,Now our group's focus is to use the paper to develop a model bill for state associations and/or individuals to emulate.,now our group 's focus is to use the paper to develop a model bill for state associations and/or individuals to emulate,Now group me work++ want cl:point-paper cl:copy-from-put mal_fs cl:point-paper bill_fs show they show for+ use state group individuals IX can use IX show them.,valid
KgndpECeNKs-00_00_28.666-00_00_35.233,KgndpECeNKs,00:00:28.666,00:00:35.233,"For more information about the conference, explore hartford.nad.org.",for more information about the conference explore hartford.nad.org,If_fs you curious about itself conference specific you look hartford.nad.org.,valid
RT7dCibs_vs-00_01_41.600-00_01_50.000,RT7dCibs_vs,00:01:41.600,00:01:50.000,We researched to identify a state in which a lawsuit against a 911 call center would result in a system change.,we researched to identify a state in which a lawsuit against a 911 call center would result in a system change,Look where good place to apply sue to change system make sure all_fs 911 call center in that state.,valid
6iGqd6tHOPk-00_00_18.433-00_00_21.233,6iGqd6tHOPk,00:00:18.433,00:00:21.233,It is free and will take you throughout the city!,it is free and will take you throughout the city,True free_fs travel through city.,valid
kNy2E3P7m2s-00_00_06.200-00_00_06.400,kNy2E3P7m2s,00:00:06.200,00:00:06.400,Hello!,hello,Hello.,valid
kNy2E3P7m2s-00_00_35.433-00_00_37.266,kNy2E3P7m2s,00:00:35.433,00:00:37.266,They decided to let that leader go.,they decided to let that leader go,IX decided dismiss that leader.,valid
kNy2E3P7m2s-00_01_21.700-00_01_25.233,kNy2E3P7m2s,00:01:21.700,00:01:25.233,We encourage the committee to come together and advocate for mental health.,we encourage the committee to come together and advocate for mental health,We encourage group committee get-together really push+ mental health.,valid
XJZjvVGfwxA-00_00_48.466-00_00_53.900,XJZjvVGfwxA,00:00:48.466,00:00:53.900,The NAD’s lawyers depend on those legal fees to continue our work.,the nad ’s lawyers depend on those legal fees to continue our work,ND_fs depend on IX lgael_fs cost continue our work. ,valid
qmwJYTtJ7YQ-00_00_52.633-00_00_58.166,qmwJYTtJ7YQ,00:00:52.633,00:00:58.166,"I met with President Bobi Cordatno for lunch, and wow, she is an amazing woman.",i met with president bobi cordatno for lunch and wow she is an amazing woman,I met with president Bobi_fs Cordatno_fs for lunch awe IX wonderful woman wow.,valid
CoKZlOwxEzk-00_02_15.733-00_02_17.366,CoKZlOwxEzk,00:02:15.733,00:02:17.366,"However, are they providing interpreters?",however are they providing interpreters,But wqm? place-in interpreter.,valid
CoKZlOwxEzk-00_05_48.333-00_05_50.433,CoKZlOwxEzk,00:05:48.333,00:05:50.433,That effort adds to our list.,that effort adds to our list,That IX add to our array-of.,valid
Ei8fyGwsy1o-00_01_50.566-00_01_54.200,Ei8fyGwsy1o,00:01:50.566,00:01:54.200,This is part of our fight for full access to online media content.,this is part of our fight for full access to online media content,that part of_fs our fight for full access to web_fs.,valid
qNT7y4vlqtc-00_00_12.166-00_00_36.233,qNT7y4vlqtc,00:00:12.166,00:00:36.233,"The NAD Youth Programs includes five different programs: Jr. NAD and Youth Leadership Camp that are geared towards high school youth; College Bowl and Youth Ambassador Program, which is for deaf youth ages between 18 - 30; and the National Deaf Youth Day that is celebrated across the U.S. every year.",the nad youth programs includes five different programs jr. nad and youth leadership camp that are geared towards high school youth college bowl and youth ambassador program which is for deaf youth ages between 18 30 and the national deaf youth day that is celebrated across the u.s. every year,Nad_fs youth program we have five different++ program cl:1st-of-5 jr_fs NAD_fs cl:2nd-of-5 Youth Lead Camp YLC_fs cl:1st-2-of-5 focus high-school youth cl:3rd-of-5 college sport cl:4th-of-5 Youth Lead Program YAP_fs cl:3&4-of-5 focus youth age between 18+30 cl:5th-of-5 national deaf youth day_fs celebrate all-over US_fs annual.  ,valid
sfNL5tR2Now-00_02_51.500-00_02_58.100,sfNL5tR2Now,00:02:51.500,00:02:58.100,Various state associations are planning this summer's conference.,various state associations are planning this summer 's conference,Know-that (alt)-your++ state agency plan++ conference now summer plan++ yes,valid
sfNL5tR2Now-00_04_42.233-00_04_48.166,sfNL5tR2Now,00:04:42.233,00:04:48.166,"Hi, I'm David O. Reynolds, I'm the Region IV Representative from California.",hi i 'm david o. reynolds i 'm the region iv representative from california,"Hi, me David_fs O_fs Reynolds_fs region 4 represent from California.",valid
sfNL5tR2Now-00_04_49.766-00_05_00.166,sfNL5tR2Now,00:04:49.766,00:05:00.166,"First, Education -- we're excited about LEAD-K which is a national campaign focused on language equality for deaf children.",first education -- we 're excited about lead-k which is a national campaign focused on language equality for deaf children,First list what you I educate exciting inform that+IX Lead-K_fs IX national campaign for language equal for deaf children.,valid
_gcdbWV03Xk-00_01_39.666-00_01_44.266,_gcdbWV03Xk,00:01:39.666,00:01:44.266,The business agreement would be in regards to the certification program.,the business agreement would be in regards to the certification program,That business agree what about what about certification program IX overall.,valid
_gcdbWV03Xk-00_02_07.666-00_02_10.233,_gcdbWV03Xk,00:02:07.666,00:02:10.233,So that business agreement was never finalized. ,so that business agreement was never finalized,So that business agreement not-yet complete.,valid
_gcdbWV03Xk-00_02_50.766-00_03_09.266,_gcdbWV03Xk,00:02:50.766,00:03:09.266,"The RID board and interim executive director will perform a risk assessment of the organization, looking at the board structure, financial position, and the certification maintenance program.  ",the rid board and interim executive director will perform a risk assessment of the organization looking at the board structure financial position and the certification maintenance program,Make sure work-out with education audiology-person have thing IX home connect videophone hear perfect work-out successful.,valid
_gcdbWV03Xk-00_04_19.166-00_04_24.466,_gcdbWV03Xk,00:04:19.166,00:04:24.466,The potential liability for all that is going on can affect the agreement between RID and NAD. ,the potential liability for all that is going on can affect the agreement between rid and nad,Possible liability all happen++++  agreement between RID_fs NAD_fs hmm ,valid
_gcdbWV03Xk-00_04_52.133-00_04_55.166,_gcdbWV03Xk,00:04:52.133,00:04:55.166,Many of you are wondering about the recent lawsuits. ,many of you are wondering about the recent lawsuits,Many you wonder about recent sue+++,valid
_gcdbWV03Xk-00_06_53.100-00_06_56.333,_gcdbWV03Xk,00:06:53.100,00:06:56.333,"If you have any questions, please contact NAD.",if you have any questions please contact nad,"If any question, please contact NAD_fs. ",valid
_gcdbWV03Xk-00_06_56.600-00_07_01.666,_gcdbWV03Xk,00:06:56.600,00:07:01.666,"We will be happy to respond, give you support and listen to your concerns. ",we will be happy to respond give you support and listen to your concerns,Happy respond support your comment concern me happy listen your concern ,valid
FYdKjJCcQcw-00_00_00.366-00_00_04.033,FYdKjJCcQcw,00:00:00.366,00:00:04.033,"Hi, I am Melissa and I have a few things to share with you. ",hi i am melissa and i have a few things to share with you,"Hi, me Melissa_fs I want comment few things ",valid
FYdKjJCcQcw-00_01_53.633-00_01_55.633,FYdKjJCcQcw,00:01:53.633,00:01:55.633,We were able to meet with the students and have lunch with them.,we were able to meet with the students and have lunch with them,Meet student IX gather eat noon ,valid
wdmj6E_faOo-00_00_35.066-00_00_36.633,wdmj6E_faOo,00:00:35.066,00:00:36.633,It was so hard to write.,it was so hard to write,was_fs hard write ,valid
wdmj6E_faOo-00_00_50.133-00_00_55.066,wdmj6E_faOo,00:00:50.133,00:00:55.066,"Different writers have different habits, you know?",different writers have different habits you know,know different++ write have different+++  habit know ,valid
wdmj6E_faOo-00_01_57.433-00_02_01.433,wdmj6E_faOo,00:01:57.433,00:02:01.433,And I wrote the history the best I could. ,and i wrote the history the best i could,I...wrote the_fs book~ history the best I can ,valid
3bFbHvIHOZI-00_01_48.600-00_01_52.800,3bFbHvIHOZI,00:01:48.600,00:01:52.800,"Warm, cozy and loving holiday! ",warm cozy and loving holiday,(2H) Warm comfortable affectionate holiday,valid
9-ff2wj6Kv8-00_01_21.666-00_01_26.600,9-ff2wj6Kv8,00:01:21.666,00:01:26.600,Also explain your life experience as a deaf person to help them understand from your perspective. ,also explain your life experience as a deaf person to help them understand from your perspective,"also you explain your life as deaf person help them see-your-perspective ""Oh, I see""",valid
9-ff2wj6Kv8-00_01_48.000-00_01_56.366,9-ff2wj6Kv8,00:01:48.000,00:01:56.366,"Third, the NAD board will be meeting next month in Hartford, Connecticut on April 13-15. ",third the nad board will be meeting next month in hartford connecticut on april 13-15,"Third, NAD_fs board will have group meeting next month IX Hartford Conn_fs April_fs 13, 14, 15 ",valid
ZMBz9KzJZ3k-00_00_57.400-00_00_59.033,ZMBz9KzJZ3k,00:00:57.400,00:00:59.033,Does this mean there will only be 5?,does this mean there will only be 5,mean only 5 that's-all?,valid
mrTrAkEC1Sc-00_00_20.633-00_00_26.300,mrTrAkEC1Sc,00:00:20.633,00:00:26.300,"We work biweekly to clean it up, in order to present the first draft of the CPC this coming spring, 2020. ",we work biweekly to clean it up in order to present the first draft of the cpc this coming spring 2020,Now 2-weeks++ clean+++ will show CPC_fs first draft_fs next spring 2020,valid
mrTrAkEC1Sc-00_01_32.533-00_01_33.533,mrTrAkEC1Sc,00:01:32.533,00:01:33.533,"Second, senior citizens. ",second senior citizens,"Second, senior citizens. ",valid
mrTrAkEC1Sc-00_01_59.566-00_02_09.000,mrTrAkEC1Sc,00:01:59.566,00:02:09.000,"Last summer at the DSA Conference, our committee collaborated with NASADHH to host a town hall.",last summer at the dsa conference our committee collaborated with nasadhh to host a town hall,"Next-over past  DSA_fs conference last summer, we committee+group host work with IX NASDHH_fs  IX town_fs audience. ",valid
NJQ7M-rFtFQ-00_03_23.666-00_03_29.433,NJQ7M-rFtFQ,00:03:23.666,00:03:29.433,"Especially in the field with a lot of writing and reading, I feel like that’s a perfect job for Deaf people.",especially in the field with a lot of writing and reading i feel like that ’s a perfect job for deaf people,Special in field with lots write read that perfect job for deaf people.,valid
hbgDIstz44Q-00_03_05.466-00_03_10.333,hbgDIstz44Q,00:03:05.466,00:03:10.333,The most important thing is your self-awareness.,the most important thing is your self awareness,Most important it_fs to_fs identify who are you.,valid
pSCEUYh2-nI-00_00_03.733-00_00_09.700,pSCEUYh2-nI,00:00:03.733,00:00:09.700,"There are many resources out there, such as joining Facebook groups or pages that support deaf business networking.",there are many resources out there such as joining facebook groups or pages that support deaf business networking,You have resources out-there join FB_fs page called deaf business owner network.,valid
pSCEUYh2-nI-00_00_10.066-00_00_12.600,pSCEUYh2-nI,00:00:10.066,00:00:12.600,Join and connect with other deaf people who own businesses.,join and connect with other deaf people who own businesses,Join connect with other people out-there who own business. ,valid
n4vFvnJ56qw-00_00_37.300-00_00_39.233,n4vFvnJ56qw,00:00:37.300,00:00:39.233,Stay positive.,stay positive,Always be_fs positive.,valid
9VviAP3FNv4-00_00_05.533-00_00_13.500,9VviAP3FNv4,00:00:05.533,00:00:13.500,My name is Travis Clevenger and I am the Camp Director.,my name is travis clevenger and i am the camp director,Me Travis_fs Clevenger_fs me camp director.,valid
9VviAP3FNv4-00_00_31.366-00_00_36.200,9VviAP3FNv4,00:00:31.366,00:00:36.200,Why do I keep going back to YLC?,why do i keep going back to ylc,"Again++ go again continue back again, YLC_fs why?",valid
9VviAP3FNv4-00_02_38.300-00_02_41.766,9VviAP3FNv4,00:02:38.300,00:02:41.766,I would like to share some advice with campers who will be going this summer.,i would like to share some advice with campers who will be going this summer,Me give-tip for campers you-all to go this summer.,valid
mdRh7UiZjQM-00_01_11.733-00_01_16.266,mdRh7UiZjQM,00:01:11.733,00:01:16.266,"In Minnesota, the police arrested a deaf man.",in minnesota the police arrested a deaf man,"Example, in Minn_fs one man deaf he cop arrest ",valid
3MkO82JvaOo-00_00_04.400-00_00_09.500,3MkO82JvaOo,00:00:04.400,00:00:09.500,Often people use social media as a resource to get ideas of how to advocate for themselves.,often people use social media as a resource to get ideas of how to advocate for themselves,Often people use SM_fs for things get idea how support themself.,valid
pr0HhP6Qs9s-00_00_36.533-00_00_41.200,pr0HhP6Qs9s,00:00:36.533,00:00:41.200,"Also, the hotel information is now available, so go-ahead and book now.",also the hotel information is now available so go ahead and book now,Also you hotel information ready IX can book now grab-advantage+. ,valid
7MVtn8T13Lc-00_00_18.066-00_00_20.500,7MVtn8T13Lc,00:00:18.066,00:00:20.500,NAD is a part of my life.,nad is a part of my life,NAD_fs part my life.,valid
7MVtn8T13Lc-00_01_46.066-00_01_48.300,7MVtn8T13Lc,00:01:46.066,00:01:48.300,NAD members are fun!,nad members are fun,They NAD_fs member fun,valid
4_od0W20hL0-00_01_54.433-00_01_58.066,4_od0W20hL0,00:01:54.433,00:01:58.066,Has a background in education and education law.,has a background in education and education law,Has background relate with education education law.,valid
4_od0W20hL0-00_02_11.700-00_02_16.033,4_od0W20hL0,00:02:11.700,00:02:16.033,"Now that the Board is set, we're going to start the process with the committee.",now that the board is set we 're going to start the process with the committee,Now IX board finish setup we ready start process with committee.,valid
bxITvkIvXL0-00_00_58.433-00_01_07.033,bxITvkIvXL0,00:00:58.433,00:01:07.033,"All members planning to attend the NAD conference or not, it is important because it's the same concept as voting. ",all members planning to attend the nad conference or not it is important because it 's the same concept as voting,NAD_fs conference those who member go plan go or_fs not go oversee important point why it same concept vote,valid
2LEpMiInAvQ-00_01_36.566-00_01_43.100,2LEpMiInAvQ,00:01:36.566,00:01:43.100,Whatever remote services the deaf or hard of hearing student used before should still be provided for support services.,whatever remote services the deaf or hard of hearing student used before should still be provided for support services,What student have since school must still proportionate videophone grab-advantage videophone with who provide support services.,valid
2LEpMiInAvQ-00_01_49.633-00_02_00.166,2LEpMiInAvQ,00:01:49.633,00:02:00.166,"Schools should make sure that any information shared with families are made accessible, including videos that have captioned and include ASL.",schools should make sure that any information shared with families are made accessible including videos that have captioned and include asl,"School IX send-out+ information them family parents same-time make sure same accessible, add caption, add sign in video send out family can get information satisfy.",valid
kAI8SAxYHSs-00_01_06.233-00_01_10.666,kAI8SAxYHSs,00:01:06.233,00:01:10.666,America!,america,America,valid
n8wMXAjy-xA-00_00_01.300-00_00_06.233,n8wMXAjy-xA,00:00:01.300,00:00:06.233,"I mean, I liked school but I never thought about life beyond school.",i mean i liked school but i never thought about life beyond school,Me like school.  In-general school me not think about life beyond school.,valid
n8wMXAjy-xA-00_04_57.500-00_04_58.566,n8wMXAjy-xA,00:04:57.500,00:04:58.566,That was important for me.,that was important for me,That important for me.,valid
E1OPBAVeRgg-00_00_27.000-00_00_32.266,E1OPBAVeRgg,00:00:27.000,00:00:32.266,This yearly event has been happening since 1958.,this yearly event has been happening since 1958,That celebrate since 1958 to now annual,valid
cC7o3bhSpjc-00_00_25.266-00_00_30.600,cC7o3bhSpjc,00:00:25.266,00:00:30.600,"If you still have questions, please contact YAP at NADYAP@NAD.org!",if you still have questions please contact yap at nadyap@nad.org,"You still not clear, feel free go-ahead contact-me NADYAP_fs @ NAD_fs dot Org_fs.",valid
UxlnxGyS3lc-00_01_13.300-00_01_14.766,UxlnxGyS3lc,00:01:13.300,00:01:14.766,What does remote education look like?,what does remote education look like,Distance education look+like what?,valid
UxlnxGyS3lc-00_01_43.333-00_01_46.366,UxlnxGyS3lc,00:01:43.333,00:01:46.366,"During synchronous remote education, the students are on the same video conferencing platform online.",during synchronous remote education the students are on the same video conferencing platform online,if same-time IX videophone cl:Zoom-style ,valid
UxlnxGyS3lc-00_02_48.366-00_02_54.200,UxlnxGyS3lc,00:02:48.366,00:02:54.200,With asynchronous remote education we need to make sure anything teachers send out are accessible.,with asynchronous remote education we need to make sure anything teachers send out are accessible,if not same-time education not means materials teacher (alt) send++ make sure 5-list review perfect accessible? ,valid
1jOUjpZ8ZzA-00_01_32.200-00_01_36.333,1jOUjpZ8ZzA,00:01:32.200,00:01:36.333,"I know American Sign Language, so for our meeting today can we sign?",i know american sign language so for our meeting today can we sign,I  know ASL now can sign today meeting?,valid
TaoGf9i3MRs-00_01_08.700-00_01_18.766,TaoGf9i3MRs,00:01:08.700,00:01:18.766,"They must communicate by providing reasonable accommodations, such as qualified interpreters, CART, assistive listening devices.",they must communicate by providing reasonable accommodations such as qualified interpreters cart assistive listening devices,"Communicate how, through reason access. Reason access what? quality interpreter well 2nd Cart_fs CART well 3rd assistive listen devices_fs, cl:3-list for example. ",valid
aORjRagCAGY-00_00_04.066-00_00_06.100,aORjRagCAGY,00:00:04.066,00:00:06.100,Dad would give him his camera to play with.,dad would give him his camera to play with,Dad tend give-him camera give-him play.,valid
D4ci5AEJ8D0-00_00_06.233-00_00_06.700,D4ci5AEJ8D0,00:00:06.233,00:00:06.700,Hi everyone!,hi everyone,(alt)hi+,valid
DCy7yjXqaAM-00_01_06.133-00_01_09.266,DCy7yjXqaAM,00:01:06.133,00:01:09.266,"Second, the patient was pregnant.",second the patient was pregnant,2nd patient IX-2nd itself pregnant.,valid
DCy7yjXqaAM-00_01_28.200-00_01_31.166,DCy7yjXqaAM,00:01:28.200,00:01:31.166,"Third, they had an upset stomach and would not eat.",third they had an upset stomach and would not eat,"3rd IX-3rd, itself (2h)sick-stomach not eat",valid
UfLdljKWr2k-00_00_11.600-00_00_13.566,UfLdljKWr2k,00:00:11.600,00:00:13.566,"I'm from Austin, Texas!",i 'm from austin texas,Me Austin Texas.,valid
c2JEjHSoKT0-00_02_26.166-00_02_40.133,c2JEjHSoKT0,00:02:26.166,00:02:40.133,"If you experience any form of racism, audism or discrimination, or if the doctor does not provide effective communication with you, don’t keep quiet.",if you experience any form of racism audism or discrimination or if the doctor does not provide effective communication with you do n’t keep quiet,"If_fs IX experience racism_fs, audism_fs, discrimination, you do-do? hmm or_fs IX+doctor refuse provide access pah smooth communication won't do-do? hold-in fine, {NO}",valid
osHy2dzQmgE-00_00_47.400-00_00_49.533,osHy2dzQmgE,00:00:47.400,00:00:49.533,You can read and understand how to better accommodate me.,you can read and understand how to better accommodate me,IX can read OIC understand how match-me.,valid
osHy2dzQmgE-00_04_33.500-00_04_35.500,osHy2dzQmgE,00:04:33.500,00:04:35.500,It's his responsibility to hire and pay you.,it 's his responsibility to hire and pay you,His responsibility pay hire for you.,valid
cDUPO8gsQsA-00_00_36.066-00_00_38.200,cDUPO8gsQsA,00:00:36.066,00:00:38.200,The selected person will represent your organization.,the selected person will represent your organization,Pick you place-in represent your organization. ,valid
VGEkijJkJhE-00_01_01.633-00_01_05.433,VGEkijJkJhE,00:01:01.633,00:01:05.433,"Once you show them, hopefully it will correct the behavior.",once you show them hopefully it will correct the behavior,You show maybe look-palm OIC change right behavior.,valid
TPGwtrWWZic-00_02_10.366-00_02_17.633,TPGwtrWWZic,00:02:10.366,00:02:17.633,"We plan exhibits which include contacting artists, lenders and collectors.",we plan exhibits which include contacting artists lenders and collectors,"We plan display, must contact artist, borrower, collector, usual contact++++.",valid
_fWpJJekhww-00_00_11.133-00_00_12.366,_fWpJJekhww,00:00:11.133,00:00:12.366,Not sure what to do.,not sure what to do,"Do-do, ugh.",valid
Ey2ffSyjjpk-00_00_19.233-00_00_19.733,Ey2ffSyjjpk,00:00:19.233,00:00:19.733,Hello!,hello,Hello.,valid
b7_yaar8zMc-00_00_26.433-00_00_29.233,b7_yaar8zMc,00:00:26.433,00:00:29.233,TL Forsberg who will be our performer!,tl forsberg who will be our performer,TL_fs Forsberg_fs will perform.,valid
